X,Y,Plant_Code,Plant_Name,State,Zip,PrimSource
-78.06444,34.27355,63225,AGA TAG Solar IV LLC,North Carolina,28451,solar
-71.662614,42.225504,61341,Grafton PV,Massachusetts,1519,solar
-74.70629,40.11359,63229,Manheim New Jersey,New Jersey,8505,solar
-71.864455,42.162207,61342,Barrett PV,Massachusetts,1537,solar
-73.9691,42.73035,63230,Knaggs Brothers Farm,New York,12009,solar
-97.817507,28.170179,61343,Karankawa Wind LLC,Texas,78368,wind
-92.9675,44.881944,63231,Woodbury Solar,Minnesota,55129,solar
-88.993862,41.055385,61344,Otter Creek Wind Farm LLC,Illinois,60470,wind
-72.12208,42.21694,63232,Brookfield Wire Company,Massachusetts,1506,solar
-78.442286,42.098128,62724,Homer Street West,New York,14760,solar
-120.59994,45.5846,61345,WyEast Solar,Oregon,97065,solar
-102.35964,31.09331,63233,Emerald Grove,Texas,79731,solar
-78.44095,42.099342,62725,Homer Street East,New York,14760,solar
-102.257753,30.976638,61346,RE Maplewood,Texas,79752,solar
-123.129,45.472,63235,O'Neill Creek Solar,Oregon,97119,solar
-72.982687,43.476875,62728,MHG Wallingford,Vermont,5773,solar
-78.043131,38.015735,62730,Desper Solar,Virginia,23093,solar
-77.895125,35.195302,61347,Long Henry Solar,North Carolina,28578,solar
-73.920008,40.610181,63236,Kings Plaza Total Energy Plant (TEP),New York,11234,natural gas
-118.288925,33.764227,61348,Westmont 400A,California,90731,solar
-76.8351,39.34167,63237,Old Court Rd Solar,Maryland,21163,solar
-118.284733,33.764227,61349,Westmont 400B,California,90731,solar
-71.902,41.583,63239,Sherman Solar,Connecticut,6351,solar
-71.598813,42.544134,61350,MDFA Devens-Saratoga,Massachusetts,1434,solar
-71.904,41.583,63240,Jackson Solar (CT),Connecticut,6351,solar
-79.449053,35.540344,61351,Bear Creek Solar,North Carolina,27207,solar
-81.87819,34.99389,63241,Limelight Solar II LLC,South Carolina,29307,solar
-89.53245,43.11626,62731,Middleton Airport Solar,Wisconsin,53562,solar
-77.53849,35.134054,61352,Bondi Solar,North Carolina,28501,solar
-82.0421,34.99647,63242,ATOOD Solar III LLC,South Carolina,29303,solar
-115.6292,32.6685,61353,Mount Signal Solar Farm II,California,92231,solar
-82.0421,34.99647,63243,AGA TAG Solar III LLC,South Carolina,29303,solar
-74.625694,40.379736,61354,Princeton Solar Project,New Jersey,8540,solar
-72.0783,41.7683,63244,Sydney Solar,Connecticut,6247,solar
-72.0794,41.7698,63245,Dickinson Solar (CT),Connecticut,6247,solar
-97.242906,32.639069,61355,Arlington Outlet Hydroelectric Generator,Texas,76140,hydroelectric
-81.16193,37.81577,63246,New River Clean Energy,West Virginia,25801,biomass
-83.644131,41.084329,61356,Valfilm Wind Project,Ohio,45840,wind
-92.74975,44.09394,63247,Novel Debra Solar LLC CSG,Minnesota,55955,solar
-122.148864,37.411011,62732,"Solar Star Palo Alto I, LLC",California,94304,solar
-96.1538,44.478,61357,Red Pine Wind Project,Minnesota,56142,wind
-92.746477,44.102341,63249,Novel Wayne Solar LLC CSG,Minnesota,55955,solar
-76.548,39.27,61358,IGS Solar I - BWI5,Maryland,21224,solar
-72.209858,40.961751,62733,East Hampton Energy Storage Center,New York,11937,batteries
-74.255,40.582,61359,IGS Solar I - EWR5,New Jersey,7001,solar
-71.964359,41.03988,62734,Montauk Energy Storage Center,New York,11954,batteries
-74.257,40.583,61360,IGS Solar I - EWR6,New Jersey,7001,solar
-88.244498,40.081738,62735,Phoenix Solar South Farms LLC Solar Farm,Illinois,61820,solar
-101.479217,32.167575,61362,NRG Elbow Creek Energy Storage Project,Texas,79720,batteries
-77.364092,43.22731,62736,Harbec Energy,New York,14519,wind
-89.601872,41.203214,63251,"Lone Tree Wind, LLC",Illinois,61368,wind
-93.022687,44.726098,61363,Equuleus Community Solar Gardens,Minnesota,55068,solar
-78.632137,42.442927,62737,West Valley West,New York,14171,solar
-93.26916,44.24416,63252,Cannon Garden Solar,Minnesota,55021,solar
-117.235322,33.384244,61365,Fallbrook Energy Storage,California,92028,batteries
-78.632127,42.443632,62738,West Valley East,New York,14171,solar
-117.167791,32.876198,61366,Top Gun Energy Storage,California,92121,batteries
-77.40947,39.38588,63253,Francis Scott Key Mall,Maryland,21703,solar
-72.5509,42.13794,61367,Smith & Wesson at Springfield MA PV,Massachusetts,1104,solar
-81.3781,28.66633,63254,Altamonte Mall,Florida,32701,solar
-102.223537,30.995503,61368,Midway Solar - TX,Texas,79735,solar
-102.528333,32.116388,63255,2W Permian Solar Project Hybrid,Texas,79714,solar
-109.683472,41.629056,61369,Sweetwater Solar,Wyoming,82935,solar
-80.3046,26.0106,63256,Pembroke Lakes Mall,Florida,33026,solar
-97.768464,32.07868,61370,Walnut Springs Solar,Texas,76690,solar
-74.3642,40.7397,63257,Short Hills Mall,New Jersey,7078,solar
-103.1,48.5,63258,Aurora Wind Project,North Dakota,58852,wind
-71.426,42.253,61371,Centaurus Solar - MA,Massachusetts,1721,solar
-84.657783,42.690644,63259,Delta Energy Park,Michigan,48917,natural gas
-74.935167,40.049778,63260,AC Power,New Jersey,8075,solar
-71.458562,42.071176,61373,Kearsarge Bellingham PV,Massachusetts,2019,solar
