Lon,Lat,NAMELSAD
-118.1429767,33.87420269,Los Angeles County
-117.8370753,34.02223836,Los Angeles County
-117.7954723,34.12748897,Los Angeles County
-118.3750106,33.89140933,Los Angeles County
-118.111255,33.98084795,Los Angeles County
-118.1987019,33.79018782,Los Angeles County
-118.1405091,33.94007948,Los Angeles County
-118.1771048,33.84618126,Los Angeles County
-118.359135,34.14300113,Los Angeles County
-118.1670673,33.85318463,Los Angeles County
-118.697951,34.03956,Los Angeles County
-117.9920328,33.93233405,Los Angeles County
-118.4955308,34.38417581,Los Angeles County
-118.4096022,33.91601025,Los Angeles County
-118.3765776,33.82781208,Los Angeles County
-118.344309,33.82984666,Los Angeles County
-118.0658871,34.64068536,Los Angeles County
-118.1603338,33.87280461,Los Angeles County
-118.3855839,33.92131535,Los Angeles County
-117.8181737,34.041376,Los Angeles County
-118.185589,33.8591492,Los Angeles County
-118.3573966,34.14297885,Los Angeles County
-118.1278159,34.00677528,Los Angeles County
-118.6317992,34.14776836,Los Angeles County
-118.4209425,33.99033882,Los Angeles County
-118.2201768,33.9984558,Los Angeles County
-118.3742046,33.85885406,Los Angeles County
-118.2320643,33.81251186,Los Angeles County
-118.1864239,34.0451314,Los Angeles County
-118.323487,33.79195901,Los Angeles County
-118.7885538,34.68507479,Los Angeles County
-118.2617246,33.80809399,Los Angeles County
-118.175932,33.81138697,Los Angeles County
-118.4203523,33.90929415,Los Angeles County
-118.0610011,33.93890622,Los Angeles County
-117.7197077,34.5793131,Los Angeles County
-118.3345922,33.91887059,Los Angeles County
-120.1032155,36.92801165,Madera County
-120.2015797,36.92391824,Madera County
-119.984616,36.92214301,Madera County
-120.3387028,36.86081121,Madera County
-119.812659,36.92353502,Madera County
-119.6907452,37.22747611,Madera County
-120.3167429,37.05491545,Madera County
-120.1644258,36.88073634,Madera County
-119.9170804,36.85280964,Madera County
-120.055387,36.92350064,Madera County
-120.3280422,36.86696374,Madera County
-119.6343316,37.32195436,Madera County
-120.1571839,37.09782628,Madera County
-119.9753746,36.92207055,Madera County
-122.52581,38.07814448,Marin County
-122.706149,37.94121202,Marin County
-122.5141976,37.9378727,Marin County
-122.5379407,38.02243333,Marin County
-122.5682432,38.1086144,Marin County
-122.7864522,38.04217885,Marin County
-122.4988508,37.86356846,Marin County
-122.6140151,38.11991639,Marin County
-122.7598631,38.05486443,Marin County
-122.6536699,38.01206226,Marin County
-120.1255417,37.5864556,Mariposa County
-119.8412278,37.66479448,Mariposa County
-123.7865408,39.31141158,Mendocino County
-123.248547,39.78611628,Mendocino County
-123.711735,39.12926005,Mendocino County
-123.799384,39.4348293,Mendocino County
-123.5220977,38.78617978,Mendocino County
-123.0811218,38.97279314,Mendocino County
-123.477223,39.68458651,Mendocino County
-123.2056911,39.17375327,Mendocino County
-123.4379281,39.06398274,Mendocino County
-123.679924,38.9122899,Mendocino County
-123.1918149,39.14314957,Mendocino County
-120.9221407,36.94045747,Merced County
-120.8095195,37.37941115,Merced County
-120.9076579,36.99874307,Merced County
-120.8194868,36.93681162,Merced County
-120.6146848,37.36010094,Merced County
-120.8355639,37.06633333,Merced County
-120.4901943,37.18636395,Merced County
-120.6385277,37.42846952,Merced County
-121.1950278,37.04729946,Merced County
-120.8297334,36.92521123,Merced County
-120.635217,36.97476896,Merced County
-121.0130417,37.25323614,Merced County
-120.2739551,37.18497687,Merced County
-120.760391,37.36342702,Merced County
-120.3303445,37.52319174,Merced County
-120.8194891,36.98352226,Merced County
-121.0132255,37.08584186,Merced County
-120.6339944,37.0546472,Merced County
-120.4071739,37.29339509,Merced County
-121.2765623,41.70474169,Modoc County
-120.9421348,41.20075251,Modoc County
-120.1820013,41.53151534,Modoc County
-120.3669055,41.73313546,Modoc County
-121.1380763,41.2076197,Modoc County
-120.8809624,41.44490566,Modoc County
-121.378287,41.88812878,Modoc County
-121.2264898,41.63312677,Modoc County
-118.916775,37.64909166,Mono County
-119.1164556,37.9521,Mono County
-118.6747361,37.56001389,Mono County
-120.8635778,35.95856112,Monterey County
-121.1297858,36.2283404,Monterey County
-121.6293384,36.65389082,Monterey County
-121.3903611,36.46821918,Monterey County
-121.5205016,36.57244588,Monterey County
-121.7925252,36.64341665,Monterey County
-121.6133116,36.73130338,Monterey County
-121.4468904,36.50886507,Monterey County
-121.8979239,36.55686072,Monterey County
-121.628595,36.66378719,Monterey County
-121.1679583,36.01324171,Monterey County
-121.6059886,36.74876123,Monterey County
-121.7272208,36.47770203,Monterey County
-121.2800808,36.36646576,Monterey County
-121.8335449,36.61454769,Monterey County
-121.8904837,36.59982743,Monterey County
-121.8638317,36.58953306,Monterey County
-121.8768842,36.59960041,Monterey County
-121.6340191,36.65238324,Monterey County
-120.8511528,35.95647497,Monterey County
-121.8993005,36.38008664,Monterey County
-121.6711331,36.7853813,Monterey County
-120.8684416,35.9519472,Monterey County
-120.9368055,36.07369445,Monterey County
-121.5671333,36.6137528,Monterey County
-121.9084179,36.57837138,Monterey County
-122.269232,38.26316201,Napa County
-122.5786104,38.59208804,Napa County
-122.253621,38.16621802,Napa County
-122.2994534,38.34521981,Napa County
-120.0862313,39.35227675,Nevada County
-121.0350261,39.23105002,Nevada County
-121.1013503,39.33184021,Nevada County
-121.3032691,39.20900553,Yuba County
-117.8472599,33.92250286,Orange County
-118.0371725,33.75252377,Orange County
-117.8320335,33.8803142,Orange County
-117.9817954,33.80891103,Orange County
-117.907066,33.65698201,Orange County
-118.0332781,33.73062983,Orange County
-117.74901,33.597665,Orange County
-117.8480316,33.92015153,Orange County
-117.957129,33.73723539,Orange County
-117.8022639,33.73454449,Orange County
-117.8714279,33.8196748,Orange County
-117.8475913,33.6718729,Orange County
-117.883619,33.71318376,Orange County
-117.7469806,33.87145556,Orange County
-117.8795575,33.91020869,Orange County
-117.849825,33.7332416,Orange County
-117.8606297,33.66060237,Orange County
-117.821927,33.61304202,Orange County
-117.8651633,33.60815162,Orange County
-118.072602,33.8096399,Orange County
-118.02792,33.85108801,Orange County
-117.8285556,33.68750555,Orange County
-117.867617,33.693574,Orange County
-117.921312,33.86814402,Orange County
-117.9717703,33.87756274,Orange County
-117.912816,33.68734602,Orange County
-117.95263,33.65452399,Orange County
-117.7421917,33.68303892,Orange County
-117.8637801,33.67561118,Orange County
-117.933787,33.925175,Orange County
-117.9798243,33.84628388,Orange County
-117.85212,33.76679901,Orange County
-117.935652,33.63536199,Orange County
-117.8472364,33.92281875,Orange County
-117.8991005,33.77821908,Orange County
-117.6885669,33.6502112,Orange County
-117.8660485,33.6387063,Orange County
-118.0271859,33.81770272,Orange County
-117.802686,33.78825004,Orange County
-117.778884,33.55188499,Orange County
-117.6975574,33.60912633,Orange County
-117.9551271,33.92508498,Orange County
-117.820078,33.91052601,Orange County
-117.714833,33.5638,Orange County
-118.0890789,33.75711477,Orange County
-117.9198431,33.92081737,Orange County
-117.987525,33.71637428,Orange County
-117.861454,33.79049001,Orange County
-117.9450355,33.68963109,Orange County
-117.9555611,33.64399723,Orange County
-117.8927361,33.86093727,Orange County
-117.9637095,33.91547973,Orange County
-117.8786331,33.87159716,Orange County
-118.0212329,33.67358241,Orange County
-118.0120858,33.77220888,Orange County
-118.017185,33.69228199,Orange County
-118.0215237,33.67374598,Orange County
-117.9019307,33.74480503,Orange County
-117.9573769,33.8828944,Orange County
-117.920428,33.71452999,Orange County
