PlantCode,GenID,power_gen,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
60744,SESI2,3.8787662110631436,8142,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,32.79411,-115.779317
60745,SESI1,2.585844471063143,8142,Solar Photovoltaic,1.81647166,2.58584348,0,0,10.2,-7.0,32.792038,-115.773448
60760,PE101,2.0000008996231124,686,Batteries,2.00001401,2.0,0,0,0.0,0.0,33.691,-117.833
60790,PV,3.878766211646465,1846,Solar Photovoltaic,2.7247073,3.87876522,0,0,10.2,-7.0,34.038433,-117.565802
60824,PV1,1.292922731379361,779,Solar Photovoltaic,0.908235832,1.29292174,0,0,10.2,-7.0,33.708661,-116.198885
60825,CNS1,96.71054719131388,775,Solar Photovoltaic,67.9360402,96.7105462,0,0,10.2,-7.0,33.540124,-115.974771
60844,PV1,4.913103601374657,2118,Solar Photovoltaic,3.45129616,4.91310261,0,0,10.2,-7.0,38.390756,-121.94777
60844,PV2,2.9737209913746563,2118,Solar Photovoltaic,2.08894241,2.97372,0,0,10.2,-7.0,38.390756,-121.94777
60846,PV1,1.4222149014579961,838,Solar Photovoltaic,0.999059415,1.42221391,0,0,10.2,-7.0,38.601354,-121.397929
60861,PV1,3.4908896912435754,883,Solar Photovoltaic,2.45223675,3.4908887,0,0,10.2,-7.0,38.565,-121.343
60869,PB1,12.282757491546429,487,Solar Photovoltaic,8.6282404,12.2827565,0,0,10.2,-7.0,34.511889,-117.922819
60914,W5328,3.8787662120258486,1703,Solar Photovoltaic,2.7247075,3.87876522,0,0,10.2,-7.0,33.766067,-118.284733
60918,3,-9.70115757553223e-07,319,Other Waste Biomass,0.0,1.0,0,0,13.9,-9.5,36.18519,-119.681495
60960,CTG1,-9.658210168774373e-07,8730,Other Waste Biomass,0.0,11.0,0,0,13.9,-9.5,33.9254,-118.4298
60960,CTG2,-9.658210168774373e-07,8730,Other Waste Biomass,0.0,11.0,0,0,13.9,-9.5,33.9254,-118.4298
60960,STG1,-9.658210168774373e-07,8730,Other Waste Biomass,0.0,11.0,0,0,13.9,-9.5,33.9254,-118.4298
60974,2BESS,2.0000008960255022,341,Batteries,2.00001401,2.0,0,0,0.0,0.0,34.162327,-118.283684
60975,WS532,25.858435791338287,8231,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,36.376889,-120.138472
60978,PV1,1.2929227319458505,2030,Solar Photovoltaic,0.908235832,1.29292174,0,0,10.2,-7.0,33.87912,-117.8887
60979,PV1,2.456552301945851,2030,Solar Photovoltaic,1.72564808,2.45655131,0,0,10.2,-7.0,33.87912,-117.8887
60981,WS526,25.858435791338287,8231,Solar Photovoltaic,18.1647166,25.8584348,0,0,10.2,-7.0,36.381775,-120.134486
60984,PV1,2.456552301988429,1521,Solar Photovoltaic,1.72564808,2.45655131,0,0,10.2,-7.0,32.729444,-117.205083
60995,1,5.559564471527949,1061,Solar Photovoltaic,3.90541408,5.55956348,0,0,10.2,-7.0,33.018486,-116.860713
61006,SCAIR,9.05045317142266,945,Solar Photovoltaic,6.35765082,9.05045218,0,0,10.2,-7.0,38.690186,-121.586514
61013,MCES1,13.575679291382182,1601,Solar Photovoltaic,9.53647623,13.5756783,0,0,10.2,-7.0,37.945296,-122.377202
61027,PESCT,4.800000953049273,2302,Natural Gas Fired Combustion Turbine,4.80003529,4.8,0,0,24.5645161,-14.3219355,37.9418,-121.3383
