,PlantCode,GenID,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon,pow_gen,gen_carbon_emission_rate
283,50571,GEN1,1614,Landfill Gas,0.0,3.0,0,0,23.1666667,-13.7,37.749308,-121.649866,3.000000997,0.11
284,50571,GEN2,1614,Landfill Gas,0.0,3.0,0,0,23.1666667,-13.7,37.749308,-121.649866,3.000000997,0.11
285,50610,1,394,Natural Gas Fired Combustion Turbine,1.20000864,1.2,0,0,24.5645161,-14.3219355,34.030318,-118.47844,1.200000979,0.44
286,50623,GENA,1223,Natural Gas Fired Combustion Turbine,3.50002568,3.5,0,0,24.5645161,-14.3219355,34.475067,-120.205107,3.500000982,0.44
287,50623,GENB,1223,Natural Gas Fired Combustion Turbine,3.50002568,3.5,0,0,24.5645161,-14.3219355,34.475067,-120.205107,3.500000982,0.44
288,50623,GENC,1223,Natural Gas Fired Combustion Turbine,3.50002568,3.5,0,0,24.5645161,-14.3219355,34.475067,-120.205107,3.500000982,0.44
289,50623,GEND,1223,Natural Gas Fired Combustion Turbine,3.50002568,3.5,0,0,24.5645161,-14.3219355,34.475067,-120.205107,3.500000982,0.44
290,50624,EXP1,467,All Other,7.50005484,7.5,0,0,10.05,-4.45,33.85336,-118.33,7.500000968,0.104261
291,50624,GTG1,467,Other Gases,4.70305058,22.5,0,0,10.05,-4.45,33.85336,-118.33,22.50000097,0.77656
292,50624,STG1,467,All Other,19.3001415,19.3,0,0,10.05,-4.45,33.85336,-118.33,19.30000097,0.104261
293,50632,GEN1,1384,Municipal Solid Waste,0.0,24.0,0,0,14.9,-8.0,37.3853,-121.141,24.00000095,0.029702
294,50674,GEN1A,2234,Natural Gas Internal Combustion Engine,1.20000881,1.2,0,0,61.5666667,-27.3666667,33.8247,-116.5106,1.200000904,0.44
295,50696,GEN1,713,Other Waste Biomass,0.0,2.5,0,0,13.9,-9.5,33.6942,-117.9381,2.500000977,0.23
296,50696,GEN2,713,Other Waste Biomass,0.0,2.5,0,0,13.9,-9.5,33.6942,-117.9381,2.500000977,0.23
297,50696,GEN3,713,Other Waste Biomass,0.0,2.5,0,0,13.9,-9.5,33.6942,-117.9381,2.500000977,0.23
298,50748,GEN1,1533,Natural Gas Fired Combined Cycle,24.4001802,24.4,0,0,11.8,-8.1,37.4058,-121.9272,24.40000097,0.44
